title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Here's Why Hold Strategy is Apt for Enbridge  ( ENB )  Stock Now,20240213T144000,https://www.zacks.com/stock/news/2225498/heres-why-hold-strategy-is-apt-for-enbridge-enb-stock-now,ACGYF,0.058903,Neutral,0.103995
"Enbridge  ( ENB )  Misses Q4 Earnings Estimates, Hikes Dividend",20240212T172300,https://www.zacks.com/stock/news/2224958/enbridge-enb-misses-q4-earnings-estimates-hikes-dividend,ACGYF,0.058047,Neutral,0.103979
BP's Whiting Refinery Shutdown Sparks Fuel Supply Worries,20240209T164200,https://www.zacks.com/stock/news/2224257/bps-whiting-refinery-shutdown-sparks-fuel-supply-worries,ACGYF,0.066047,Neutral,0.104179
ExxonMobil  ( XOM )  to Exit Equatorial Guinea & Focus on Guyana,20240209T164000,https://www.zacks.com/stock/news/2224256/exxonmobil-xom-to-exit-equatorial-guinea-focus-on-guyana,ACGYF,0.072876,Neutral,0.104758
"Equinor  ( EQNR )  Q4 Earnings Miss Estimates, Revenues Beat",20240208T155100,https://www.zacks.com/stock/news/2223524/equinor-eqnr-q4-earnings-miss-estimates-revenues-beat,ACGYF,0.046273,Neutral,0.102575
"BP Misses Q4 Earnings Estimates, Expects 2024 Production Hike",20240206T172000,https://www.zacks.com/stock/news/2222006/bp-misses-q4-earnings-estimates-expects-2024-production-hike,ACGYF,0.050148,Neutral,0.103283
"ExxonMobil  ( XOM )  Q4 Earnings Beat Estimates, Revenues Fall Y/Y",20240202T182300,https://www.zacks.com/stock/news/2220515/exxonmobil-xom-q4-earnings-beat-estimates-revenues-fall-yy,ACGYF,0.084275,Neutral,0.125083
Phillips 66  ( PSX )  Halts Crude at Rodeo Refinery in February,20240201T151400,https://www.zacks.com/stock/news/2219626/phillips-66-psx-halts-crude-at-rodeo-refinery-in-february,ACGYF,0.151539,Somewhat-Bullish,0.155928
Phillips 66  ( PSX )  Beats Earnings & Revenue Estimates in Q4,20240131T162800,https://www.zacks.com/stock/news/2218895/phillips-66-psx-beats-earnings-revenue-estimates-in-q4,ACGYF,0.061003,Neutral,0.104008
"MPLX Beats Q4 Earnings Estimates, Hikes '24 Capex Budget",20240131T161800,https://www.zacks.com/stock/news/2218882/mplx-beats-q4-earnings-estimates-hikes-24-capex-budget,ACGYF,0.066047,Neutral,0.104179
Eni  ( E )  Proceeds With Livorno's Conversion to Biorefinery,20240130T153500,https://www.zacks.com/stock/news/2218053/eni-e-proceeds-with-livornos-conversion-to-biorefinery,ACGYF,0.05749,Neutral,0.103962
"Valero  ( VLO )  Beats Q4 Earnings Estimates, Hikes Dividend",20240125T161900,https://www.zacks.com/stock/news/2215966/valero-vlo-beats-q4-earnings-estimates-hikes-dividend,ACGYF,0.051003,Neutral,0.103406
Here's Why it is Worth Investing in Sunoco  ( SUN )  Stock Now,20240124T141000,https://www.zacks.com/stock/news/2214879/heres-why-it-is-worth-investing-in-sunoco-sun-stock-now,ACGYF,0.068698,Neutral,0.104358
